"Machen_ChristianityLiberalism" "Machen_LitHistNT" "Machen_OriginPaulReligion" "Mencken_AmericanLanguage" "Mencken_DefenseWomen" "Mencken_Nietzche" "Poe_FallHouseUsher" "Poe_Works1" "Rian_Unbelief" "VanTil_ChristianTheisticEthics" "VanTil_ProtestantDoctrineScripture" "VanTil_SurveyChristianEpistemology"
"us" 0.197103285641378 0.120098262214539 0.0286479836875011 0.0504799951260694 0.0288600288600289 0.100585458953395 0.0782932080642004 0.1676303644369 0.117141741507224 0.209961911868054 0.167592988456605 0.173423672331273
"himself" 0.124949404290516 0.111909744336275 0.117119698016548 0.0374248239727756 0.0529100529100529 0.180538003249684 0.0391466040321002 0.0657790037663784 0 0.203888633425589 0.234288157332193 0.113915549472503
"should" 0.123189553525861 0.166499863524702 0.0952124163731653 0.0348137897421169 0.0336700336700337 0.0838212157944962 0.0880798590722255 0.132618959206408 0.117141741507224 0.188271631716395 0.0581445061992304 0.187025528984706
"time" 0.0827129859387924 0.18287689928123 0.107008644950372 0.102700679739245 0.0577200577200577 0.130245273772986 0.0391466040321002 0.134740862553711 0.117141741507224 0.109319011964359 0.0837964942283027 0.138568914656851
"does" 0.172465374936205 0.0955327085797471 0.150823208237138 0.0591834425615987 0.0312650312650313 0.0502927294766977 0.0195733020160501 0.0265237918412816 0 0.167448962770803 0.273621205643437 0.171723440249594
"out" 0.0879925382327579 0.0718769902647621 0.0589811428860316 0.123588953584515 0.185185185185185 0.188275346246099 0.0782932080642004 0.120948490796244 0.0390472471690746 0.163110906740471 0.0820863616930312 0.134318334452653
"now" 0.114390299702585 0.0691474843053407 0.0716199592187526 0.108793092944115 0.103415103415103 0.0696360869677353 0.205519671168526 0.235531271550581 0.0390472471690746 0.127538847291752 0.13852073535699 0.135168450493492
"true" 0.179504777994826 0.111909744336275 0.0775180735073558 0.0313324107679052 0.0456950456950457 0.0915585587909112 0 0.0275847435149329 0.117141741507224 0.21082952307412 0.182984181274049 0.198077037515621
"english" 0.00703940305862063 0.0245655536347921 0.03201833470956 0.809420611504217 0.0192400192400192 0.0180538003249684 0.00978665100802505 0.0137923717574664 0 0.000867611206066338 0 0.000850116040839575
"those" 0.200622987170688 0.121008097534346 0.159249085792285 0.0635351662793633 0.125060125060125 0.162484202924716 0.0195733020160501 0.0657790037663784 0.0780944943381492 0.0945696214612308 0.117999144933732 0.0901123003289949
"human" 0.114390299702585 0.0727868255845692 0.0690921959522084 0.00522206846131753 0.0481000481000481 0.190854460578237 0 0.0307675985358867 0.0390472471690746 0.157905239504073 0.165882855921334 0.272887249109503
"most" 0.0774334336448269 0.0882540260212901 0.107008644950372 0.151439985378208 0.230880230880231 0.113481030614087 0.0782932080642004 0.144289427616572 0.117141741507224 0.074614563721705 0.0478837109876015 0.106264505104947
"thus" 0.0774334336448269 0.0254753889545992 0.108693820461401 0.13403309050715 0.146705146705147 0.116060144946225 0.166373067136426 0.116704684101639 0.117141741507224 0.0954372326672971 0.147071398033348 0.11901624571754
"whole" 0.0985516428206888 0.0900736966609044 0.0893143020845621 0.0487393056389636 0.110630110630111 0.0864003301266345 0.0782932080642004 0.0901808922603575 0.0390472471690746 0.143155849000946 0.124839675074818 0.176824136494632
"you" 0.0879925382327579 0.0764261668637976 0.0362312734871337 0.102700679739245 0.0456950456950457 0.0709256441338044 0.773145429633979 0.407405442682086 0.0390472471690746 0.0216902801516584 0.049593843522873 0.03995545391946
"point" 0.089752388997413 0.0373032481120917 0.083416187795959 0.0130551711532938 0.0264550264550265 0.0206329146571067 0 0.08381518221845 0.156188988676298 0.202153411013457 0.159042325780248 0.247383767884316
"own" 0.117910001231896 0.0855245200618688 0.0623514939080905 0.0565724083309399 0.132275132275132 0.175379774585407 0.0391466040321002 0.0944246989549626 0 0.151831961061609 0.136810602821719 0.0790607917980804
"being" 0.139028210407757 0.063688472386498 0.131443689860299 0.0278510317936935 0.0456950456950457 0.0876898872927037 0.00978665100802505 0.119887539122593 0.0780944943381492 0.146626293825211 0.119709277469004 0.128367522166776
"american" 0.00351970152931031 0 0.00421293877757368 0.735441308302219 0.108225108225108 0.0180538003249684 0 0.0127314200838152 0 0 0.00171013253527148 0.000850116040839575
"without" 0.128469105819826 0.0818851787826403 0.0741477224852968 0.066146200510022 0.108225108225108 0.10832280194981 0.137013114112351 0.118826587448942 0.0780944943381492 0.0980400662854961 0.107738349722103 0.13941903069769
"made" 0.0827129859387924 0.0900736966609044 0.0943698286176505 0.0948675770472684 0.0841750841750842 0.145719959765816 0.0587199060481503 0.114582780754337 0.0780944943381492 0.0945696214612308 0.114578879863189 0.0977633446965511
"before" 0.066874329056896 0.127376944772996 0.154193559259197 0.0835530953810805 0.0721500721500721 0.0773734299641503 0.127226463104326 0.118826587448942 0.0390472471690746 0.0937020102551645 0.0684053014108593 0.0833113720022783
"because" 0.0915122397620682 0.0600491311072696 0.0733051347297821 0.0391655134598815 0.0841750841750842 0.12379748794264 0.0391466040321002 0.0180361784520715 0.156188988676298 0.138817792970614 0.153911928174434 0.222730402699969
"say" 0.133748658113792 0.0454917659903557 0.0564533796194874 0.0652758557664691 0.103415103415103 0.100585458953395 0.0391466040321002 0.124131345817198 0.0780944943381492 0.124936013673553 0.12654980761009 0.153020887351123
"way" 0.181264628759481 0.0809753434628332 0.112906759238975 0.0852937848681863 0.0673400673400673 0.0631883011373894 0.0782932080642004 0.0689618587873322 0.0390472471690746 0.121465568849287 0.111158614792646 0.107964737186626
"knowledge" 0.0510356721749996 0.0536802838686198 0.0488700898198547 0.00348137897421169 0.00721500721500722 0.0502927294766977 0 0.0148533234311177 0 0.129274069703884 0.141941000427533 0.388503030663686
"says" 0.0316773137637928 0.0482212719497771 0.104480881683827 0.116626195636091 0.0144300144300144 0.118639259278364 0 0.0254628401676304 0 0.124936013673553 0.271911073108166 0.117316013635861
"same" 0.0915122397620682 0.103721226458011 0.0758328979963263 0.147088261660444 0.0962000962000962 0.0992959017873262 0.00978665100802505 0.0572913903771683 0.0390472471690746 0.0780850085459704 0.109448482257375 0.116465897595022
"two" 0.0492758214103444 0.102811391138204 0.0825736000404442 0.124459298328068 0.0697450697450697 0.113481030614087 0.0293599530240752 0.126253249164501 0.273330730183522 0.0503214499518476 0.0889268918341171 0.107114621145786
"view" 0.149587314995688 0.0645983077063052 0.112906759238975 0.00870344743552921 0.0216450216450216 0.0232120289892451 0.0195733020160501 0.0403161635987481 0 0.136214959352415 0.448054724241129 0.0612083549404494
"many" 0.126709255055171 0.104631061777818 0.0547682041084579 0.197568256786513 0.125060125060125 0.10961235911588 0.146799765120376 0.0668399554400297 0.195236235845373 0.0468510051275822 0.0427533133817871 0.0663090511854868
"said" 0.142547911937068 0.0764261668637976 0.124702987816181 0.0626648215358103 0.0240500240500241 0.110901916281949 0.0978665100802505 0.102912312344173 0.0390472471690746 0.0902315654308991 0.102607952116289 0.0867118361656366
"great" 0.11615015046724 0.122827768173961 0.0775180735073558 0.102700679739245 0.0913900913900914 0.137982616769401 0.0391466040321002 0.137923717574664 0.117141741507224 0.058997562012511 0.0393330483112441 0.0552575426545723
"itself" 0.102071344349999 0.0773360021836048 0.0488700898198547 0.054831718843834 0.0456950456950457 0.116060144946225 0.0489332550401253 0.0827542305447987 0 0.167448962770803 0.0923471569046601 0.123266825921738
"place" 0.114390299702585 0.158311345646438 0.131443689860299 0.0844234401246334 0.0192400192400192 0.0644778583034586 0.0293599530240752 0.0488037769879582 0.0390472471690746 0.0928343990490981 0.0547242411286875 0.0909624163698345
"words" 0.135508508878447 0.0736966609043763 0.0977401796397095 0.264584802040088 0.0240500240500241 0.0412658293142135 0.0978665100802505 0.0647180520927272 0.0390472471690746 0.0373072818608525 0.0701154339461308 0.0561076586954119
"did" 0.0932720905267233 0.105540897097625 0.157563910281256 0.0435172371776461 0.0264550264550265 0.0593196296391819 0.0782932080642004 0.0869980372394037 0.156188988676298 0.100642899903695 0.0735356990166738 0.10031369281907
"christianity" 0.359009555989652 0.139204803930489 0.132286277615814 0.000870344743552921 0.0216450216450216 0.0773734299641503 0 0 0 0.0763497861338377 0.0547242411286875 0.108814853227466
"therefore" 0.066874329056896 0.070967154944955 0.197165534790448 0.00174068948710584 0.00240500240500241 0.0722152012998736 0 0.0466818736406557 0.0390472471690746 0.13274451452815 0.182984181274049 0.0977633446965511
"after" 0.0633546275275857 0.149212992448367 0.139026979659932 0.0800717164068688 0.0336700336700337 0.0992959017873262 0.0195733020160501 0.08381518221845 0.0390472471690746 0.064203229248909 0.0598546387345019 0.0654589351446472
"cannot" 0.0756735828801718 0.0509507779091984 0.0454997387977958 0.00870344743552921 0.0553150553150553 0.0386867149820752 0.0391466040321002 0.031828550209538 0 0.196080132570992 0.186404446344592 0.181074716698829
"work" 0.100311493585344 0.112819579656082 0.0733051347297821 0.054831718843834 0.0577200577200577 0.0864003301266345 0.459972597377178 0.0615351970717734 0.0390472471690746 0.0954372326672971 0.165882855921334 0.0510069624503745
