"baum" "evans" "thompson"
"long" 0.110756444363715 0.112096006932997 0.138122114748235
"has" 0.120946037245177 0.18745466705602 0.0842709331053222
"much" 0.127591423907 0.162963102516037 0.0789269227132774
"think" 0.101452903037163 0.227959946872145 0.090437098942297
"came" 0.130028065683002 0.0781846098776364 0.101947275171317
"these" 0.107655263921531 0.206294332086776 0.0834487776603923
"oh" 0.0587009155127691 0.139413521227593 0.198961617673053
"am" 0.131357143015366 0.129051705460677 0.0633059692596079
"make" 0.120281498578995 0.130935671963752 0.0707053682639777
"country" 0.115851240804446 0.0593449448468806 0.103180508338712
"while" 0.126483859463363 0.0640548611045696 0.0805712336031374
"old" 0.108319802587714 0.0414472630676627 0.123734394461961
"city" 0.126040833685908 0.0226075980369069 0.0982475756691318
"even" 0.0863900266036979 0.139413521227593 0.120856850404706
"eyes" 0.0970226452626146 0.0763006433745608 0.127845171686611
"too" 0.0762004337222361 0.150717320246046 0.129489482576471
"around" 0.116294266581901 0.113979973436072 0.0686499796516527
"woodman" 0.129585039905547 0.139413521227593 0.0287754405725491
"its" 0.107655263921531 0.0612289113499562 0.102769430616247
"first" 0.101009877259708 0.0715907271168719 0.110168829620616
"replied" 0.137781016788462 0.153543270000659 0.00205538861232493
"off" 0.0547136835156754 0.0678227941107207 0.185396052831709
"lion" 0.0843964106051511 0.223250030614456 0.0530290261979833
"right" 0.079744639941875 0.113037990184535 0.108524518730756
"himself" 0.0573718381804045 0.0555770118407295 0.172652643435294
"many" 0.0908202843782465 0.191222600062171 0.0489182489733334
"land" 0.115408215026991 0.102676174417619 0.0386413059117087
"two" 0.0859470008262431 0.057460978343805 0.110990985065546
"kabumpo" 0 0 0.286521172558096
"find" 0.100123825704799 0.0649968443561074 0.0711164459864427
"looked" 0.0930354132655209 0.0659388276076451 0.0818044667705323
"once" 0.104775596368075 0.0536930453376539 0.0645392024270029
"began" 0.0762004337222361 0.0470991625768894 0.115512840012661
"ever" 0.0795231270531476 0.107386090675308 0.0776936895458824
"still" 0.0737637919462344 0.0763006433745608 0.100302964281457
"it^s" 0.0786370754982379 0.10644410742377 0.0768715341009525
"look" 0.0633526861760452 0.0857204758899387 0.114279606845266
"shall" 0.079744639941875 0.120573856196837 0.0678278242067228
"take" 0.0726562275025972 0.117747906442223 0.0776936895458824
"big" 0.104554083479347 0.0659388276076451 0.0402856168015687
"princess" 0.0728777403913247 0.0555770118407295 0.102358352893782
"let" 0.082845820384059 0.0894884088960898 0.0682389019291877
"tell" 0.076643459499691 0.0602869280984184 0.092492487554622
"place" 0.0901557457120643 0.0923143586507032 0.0476850158059384
"trot" 0.127148398129545 0 0.0168541866210644
"because" 0.100566851482253 0.0857204758899387 0.0283643628500841
"boy" 0.0950290292640677 0.0235495812884447 0.0633059692596079
"emerald" 0.0830673332727865 0.017897681779218 0.0875595548850421
"another" 0.0824027946066042 0.0725327103684097 0.0624838138146779
"answered" 0.104111057701892 0.0452151960738138 0.0341194509645939
"friends" 0.0852824621600608 0.125283772454526 0.031652984629804
"own" 0.0671184052844115 0.0960822916568543 0.0781047672683474
"i^ll" 0.0671184052844115 0.062170894601494 0.091259254387227
"thought" 0.0726562275025972 0.103618157669157 0.0628948915371429
"going" 0.059143941290224 0.0819525428837875 0.0941367984444819
"voice" 0.0779725368320556 0.0423892463192004 0.0760493786560225
"being" 0.0815167430516945 0.0941983251537788 0.0452185494711485
"may" 0.0874975910473351 0.0810105596322497 0.0386413059117087
"help" 0.0520555288509462 0.0979662581599299 0.0941367984444819
"sure" 0.0859470008262431 0.0894884088960898 0.0337083732421289
"quite" 0.0784155626095104 0.0866624591414765 0.0485071712508684
"might" 0.0770864852771458 0.0602869280984184 0.062072736092213
"cried" 0.0759789208335087 0.0141297487730668 0.0813933890480673
"found" 0.0945860034866129 0.0348533803068981 0.0378191504667788
"say" 0.0520555288509462 0.113037990184535 0.0822155444929973
"those" 0.0620236088436806 0.13187765521529 0.0530290261979833
"without" 0.0531630932945833 0.0612289113499562 0.0974254202242018
"forest" 0.0691120212829583 0.122457822699912 0.0398745390791037
"s" 0.0106326186589167 0.00282594975461336 0.200194850840448
"room" 0.0790801012756927 0.0244915645399825 0.0633059692596079
"three" 0.0742068177236893 0.0244915645399825 0.0707053682639777
"yes" 0.0551567092931302 0.100792207914543 0.0711164459864427
"glinda" 0.0843964106051511 0.0273175142945958 0.0448074717486835
"until" 0.0959150808189775 0.0423892463192004 0.0143877202862745
"every" 0.0642387377309549 0.0612289113499562 0.0637170469820729
"cap" 0.106990725255349 0 0.00698832128190477
"soon" 0.0715486630589601 0.0357953635584359 0.0571398034226331
"most" 0.0569288124029497 0.101734191166081 0.0550844148103082
"nothing" 0.062245121732408 0.048983129079965 0.0682389019291877
"green" 0.0635741990647726 0.0301434640492092 0.0711164459864427
"saw" 0.0737637919462344 0.0320274305522848 0.0509736375856583
"such" 0.0613590701774983 0.080068576380712 0.0522068707530533
"things" 0.057593351069132 0.153543270000659 0.0267200519602241
"castle" 0.0489543484087622 0.00565189950922673 0.106880207840896
"witch" 0.0615805830662257 0.14883335374297 0.0209649638457143
"water" 0.0713271501702327 0.0433312295707382 0.0485071712508684
"side" 0.0637957119535 0.017897681779218 0.0719386014313726
"palace" 0.0635741990647726 0.00565189950922673 0.0764604563784875
"queen" 0.0631311732873177 0.0781846098776364 0.0456296271936135
"seemed" 0.073542279057507 0.0301434640492092 0.0468628603610085
"royal" 0.0454101421891233 0.00188396650307558 0.110990985065546
"ruggedo" 0.0551567092931302 0 0.0933146429995519
"enough" 0.0618020959549531 0.0357953635584359 0.0628948915371429
"course" 0.0549351964044028 0.093256341902241 0.0501514821407283
"looking" 0.043195013301849 0.0339113970553604 0.0949589538894119
"went" 0.0728777403913247 0.0470991625768894 0.0332972955196639
"n" 0.0999023128160712 0 0.00246646633478992
"thing" 0.0673399181731389 0.0649968443561074 0.0345305286870589
"each" 0.0383217297498455 0.138471537976055 0.0542622593653782
"left" 0.0664538666182292 0.0292014807976714 0.0493293266957984
"far" 0.0629096603985903 0.0565189950922673 0.0419299276914286
"day" 0.0511694772960365 0.0866624591414765 0.0493293266957984
"small" 0.0491758612974896 0.0348533803068981 0.0752272232110925
"wish" 0.0449671164116684 0.0423892463192004 0.0789269227132774
"really" 0.0409798844145747 0.105502124172232 0.0583730365900281
"door" 0.0449671164116684 0.044273212822276 0.0772826118234175
"air" 0.0540491448494931 0.0169556985276802 0.0719386014313726
"told" 0.0491758612974896 0.0791265931291742 0.0509736375856583
"along" 0.0458531679665781 0.031085447300747 0.0776936895458824
"knew" 0.0649032763971372 0.0414472630676627 0.0374080727443138
"elephant" 0.00199361599854688 0.113979973436072 0.121679005849636
"both" 0.0516125030734913 0.0292014807976714 0.0649502801494679
"face" 0.0580363768465868 0.0649968443561074 0.0374080727443138
"turned" 0.0618020959549531 0.044273212822276 0.0394634613566387
"life" 0.0341129848640243 0.137529554724517 0.0497404044182634
"others" 0.0562642737367674 0.0904303921476276 0.029186518295014
"dear" 0.0582578897353142 0.0216656147853691 0.0550844148103082
"should" 0.0445240906342136 0.0998502246630055 0.0460407049160785
"bill" 0.0877191039360625 0.0075358660123023 0.00575508811450981
"better" 0.0456316550778507 0.0565189950922673 0.061250580647283
"beautiful" 0.0626881475098629 0.0725327103684097 0.0221981970131093
"keep" 0.0474037581876701 0.0320274305522848 0.0678278242067228
"can^t" 0.0640172248422274 0.0518090788345783 0.0279532851276191
"put" 0.0460746808553056 0.0461571793253516 0.0633059692596079
"also" 0.0682259697280486 0.0593449448468806 0.0156209534536695
"together" 0.0633526861760452 0.0423892463192004 0.0320640623522689
"stood" 0.065346302174592 0.0235495812884447 0.0353526841319888
"red" 0.0290181884232934 0.0339113970553604 0.0978364979466668
"that^s" 0.047846783965125 0.0725327103684097 0.0460407049160785
"give" 0.0496188870749445 0.062170894601494 0.0464517826385435
"took" 0.0573718381804045 0.0452151960738138 0.0374080727443138
"i^ve" 0.0536061190720382 0.0499251123315027 0.0419299276914286
"feet" 0.0456316550778507 0.0282594975461336 0.0649502801494679
"jellia" 0.00930354132655209 0.00941983251537788 0.138944270193165
"eat" 0.0598084799564063 0.031085447300747 0.0353526841319888
"last" 0.0414229101920295 0.0339113970553604 0.0678278242067228
"toward" 0.0476252710763976 0.0216656147853691 0.061250580647283
"anything" 0.050947964407309 0.0565189950922673 0.0390523836341737
"hand" 0.0336699590865695 0.0339113970553604 0.0793380004357424
"hands" 0.030347265755658 0.0367373468099737 0.0830376999379273
"live" 0.0482898097425799 0.0763006433745608 0.0324751400747339
"mountain" 0.0403153457483924 0.0075358660123023 0.0772826118234175
"exclaimed" 0.0635741990647726 0.0169556985276802 0.029186518295014
"samuel" 0 0 0.154565223646835
"something" 0.0400938328596649 0.0649968443561074 0.0517957930305883
"want" 0.0418659359694844 0.093256341902241 0.0345305286870589
"next" 0.0547136835156754 0.0282594975461336 0.0386413059117087
"returned" 0.0666753795069566 0.0197816482822935 0.0189095752333894
"new" 0.0383217297498455 0.075358660123023 0.0456296271936135
"wicked" 0.0522770417396736 0.0706487438653341 0.0209649638457143
"called" 0.0500619128523993 0.0414472630676627 0.0374080727443138
"under" 0.034999036418934 0.0235495812884447 0.0727607568763026
"pretty" 0.0567072995142222 0.031085447300747 0.0287754405725491
"gave" 0.0425304746356667 0.0150717320246046 0.061250580647283
"world" 0.0555997350705851 0.0828945261353253 0.00698832128190477
"em" 0.0593654541789514 0.0433312295707382 0.0168541866210644
"silver" 0.0281321368683837 0.0113037990184535 0.0887927880524371
"always" 0.0476252710763976 0.0527510620861161 0.0341194509645939
"friend" 0.0620236088436806 0.0452151960738138 0.0102769430616247
"got" 0.044745603522941 0.0649968443561074 0.0337083732421289
"heard" 0.0487328355200347 0.0480411458284272 0.0337083732421289
"randy" 0 0 0.14511043603014
"round" 0.0197146470967413 0.0103618157669157 0.103180508338712
"same" 0.0436380390793038 0.0697067606137963 0.0324751400747339
"throne" 0.043195013301849 0.00188396650307558 0.0628948915371429
"betsy" 0.0730992532800521 0 0.00781047672683474
"indeed" 0.0540491448494931 0.0470991625768894 0.0217871192906443
"love" 0.034999036418934 0.162963102516037 0.00575508811450981
"peg" 0.00221512888727431 0 0.137299959303305
"arms" 0.0374356781949358 0.0263755310430581 0.060017347479888
"body" 0.0547136835156754 0.0555770118407295 0.0152098757312045
"trees" 0.0540491448494931 0.0226075980369069 0.030419751462409
"few" 0.0423089617469392 0.0461571793253516 0.0415188499689636
"work" 0.0405368586371198 0.0593449448468806 0.0378191504667788
"high" 0.0398723199709375 0.0273175142945958 0.0513847153081233
"home" 0.0482898097425799 0.0499251123315027 0.0250757410703642
"perhaps" 0.0471822452989427 0.0470991625768894 0.0283643628500841
"strange" 0.0407583715258472 0.017897681779218 0.0526179484755183
"mind" 0.0358850879738438 0.0584029615953428 0.0427520831363586
"ruler" 0.0434165261905764 0.017897681779218 0.0464517826385435
"yet" 0.0474037581876701 0.0602869280984184 0.0201428084007843
"shaggy" 0.0691120212829583 0.00282594975461336 0.00411077722464986
"white" 0.0305687786443854 0.0414472630676627 0.0579619588675631
"black" 0.0294612142007483 0.0150717320246046 0.0711164459864427
"lost" 0.0507264515185816 0.0292014807976714 0.0250757410703642
"declared" 0.0618020959549531 0.000941983251537788 0.0164431088985995
"set" 0.0403153457483924 0.0150717320246046 0.0501514821407283
"cannot" 0.049397374186217 0.0470991625768894 0.0189095752333894
"ground" 0.0505049386298542 0.0348533803068981 0.0221981970131093
"soldier" 0.036549626640026 0 0.0628948915371429
"island" 0.0409798844145747 0 0.0538511816429132
"light" 0.0281321368683837 0.0998502246630055 0.0328862177971989
"tip" 0.0657893279520469 0.00188396650307558 0.00534401039204482
"heart" 0.0496188870749445 0.0414472630676627 0.0176763420659944
"bear" 0.057593351069132 0.0254335477915203 0.0090437098942297
"try" 0.0372141653062083 0.0527510620861161 0.0341194509645939
"almost" 0.0283536497571111 0.0216656147853691 0.0637170469820729
"brought" 0.03189785597675 0.0395632965645871 0.0485071712508684
"handy" 0.00221512888727431 0 0.120856850404706
"inquired" 0.0540491448494931 0.00565189950922673 0.0217871192906443
"didn^t" 0.0423089617469392 0.0659388276076451 0.0164431088985995
"glass" 0.0502834257411267 0.0141297487730668 0.0242535856254342
"use" 0.0403153457483924 0.048983129079965 0.0271311296826891
"become" 0.0403153457483924 0.0847784926384009 0.0110990985065546
"horse" 0.0374356781949358 0.00470991625768894 0.0513847153081233
"best" 0.0325623946429323 0.0433312295707382 0.0431631608588236
"sat" 0.0498403999636719 0.0160137152761424 0.0221981970131093
"seen" 0.0418659359694844 0.0376793300615115 0.0271311296826891
"fell" 0.0358850879738438 0.0197816482822935 0.0456296271936135
"end" 0.0434165261905764 0.0216656147853691 0.030008673739944
"herself" 0.0299042399782031 0.0207236315338313 0.0554954925327732
"rather" 0.0325623946429323 0.0320274305522848 0.0456296271936135
"house" 0.0527200675171285 0.0254335477915203 0.0106880207840896
"behind" 0.0330054204203872 0.0216656147853691 0.0485071712508684
"nome" 0.0642387377309549 0 0
"roger" 0 0 0.119212539514846
"chapter" 0.0274675982022014 0.0376793300615115 0.0509736375856583
"does" 0.0279106239796563 0.0772426266260986 0.0328862177971989
"morning" 0.0369926524174809 0.0207236315338313 0.0406966945240337
"stop" 0.0234803662051076 0.0414472630676627 0.0559065702552382
"tandy" 0 0 0.117157150902521
"earth" 0.0261385208698368 0.129051705460677 0.0119212539514846
"believe" 0.030347265755658 0.0659388276076451 0.031241906907339
"able" 0.041644423080757 0.0518090788345783 0.0160320311761345
"majesty" 0.0440810648567587 0.00941983251537788 0.030008673739944
"part" 0.0385432426385729 0.0546350285891917 0.0205538861232493
"remarked" 0.0587009155127691 0.00565189950922673 0.00452185494711485
"legs" 0.0440810648567587 0.0254335477915203 0.0226092747355743
"gone" 0.0387647555273004 0.0160137152761424 0.0361748395769188
"ato" 0 0 0.114279606845266
"army" 0.044745603522941 0.00376793300615115 0.029186518295014
"wooden" 0.036549626640026 0.00470991625768894 0.0439853163037536
"everything" 0.0230373404276528 0.031085447300747 0.0571398034226331
"suppose" 0.0292397013120208 0.0160137152761424 0.0522068707530533
"myself" 0.0383217297498455 0.0301434640492092 0.0287754405725491
"beside" 0.0392077813047552 0.000941983251537788 0.0394634613566387
"themselves" 0.0312333173105677 0.057460978343805 0.029186518295014
"top" 0.0327839075316597 0.00565189950922673 0.0489182489733334
"fast" 0.0381002168611181 0.0150717320246046 0.0341194509645939
"open" 0.0290181884232934 0.0254335477915203 0.0464517826385435
"done" 0.0314548301992951 0.0254335477915203 0.0415188499689636
"tree" 0.0341129848640243 0.013187765521529 0.0419299276914286
"won^t" 0.0412013973033021 0.0320274305522848 0.0205538861232493
"against" 0.0274675982022014 0.0235495812884447 0.0493293266957984
"young" 0.0243664177600174 0.0320274305522848 0.0513847153081233
"several" 0.0412013973033021 0.0292014807976714 0.0209649638457143
"you^re" 0.0316763430880226 0.0518090788345783 0.0287754405725491
"yellow" 0.0276891110909288 0.0819525428837875 0.0217871192906443
"suddenly" 0.03189785597675 0.0348533803068981 0.0341194509645939
"elegant" 0.000221512888727431 0.00188396650307558 0.106880207840896
"t" 0.00332269333091146 0.00941983251537788 0.0978364979466668
"we^ll" 0.0170564924320122 0.0452151960738138 0.0567287257001681
"happy" 0.0343344977527517 0.0631128778530318 0.0164431088985995
"hear" 0.0243664177600174 0.0499251123315027 0.0406966945240337
"rest" 0.0274675982022014 0.0301434640492092 0.0435742385812886
"afraid" 0.0369926524174809 0.044273212822276 0.0193206529558544
"moment" 0.0296827270894757 0.0329694138038226 0.0378191504667788
"reached" 0.0387647555273004 0.0188396650307558 0.0271311296826891
"prince" 0.00952505421527952 0.000941983251537788 0.0875595548850421
"toto" 0.0536061190720382 0.00659388276076451 0.00328862177971989
"hard" 0.0367711395287535 0.0226075980369069 0.0271311296826891
"journey" 0.0458531679665781 0.0188396650307558 0.0119212539514846
"times" 0.0312333173105677 0.0357953635584359 0.031241906907339
"true" 0.0323408817542049 0.0781846098776364 0.0106880207840896
"ask" 0.0383217297498455 0.0301434640492092 0.0201428084007843
"although" 0.0465177066327604 0.0273175142945958 0.00493293266957984
"having" 0.0369926524174809 0.0301434640492092 0.0213760415681793
"since" 0.0305687786443854 0.0292014807976714 0.0337083732421289
"ran" 0.0347775235302066 0.0226075980369069 0.0283643628500841
"became" 0.0423089617469392 0.0301434640492092 0.0106880207840896
"happened" 0.0283536497571111 0.0273175142945958 0.0374080727443138
"wonderful" 0.034999036418934 0.0433312295707382 0.0180874197884594
"power" 0.0241449048712899 0.0923143586507032 0.0164431088985995
"wall" 0.034999036418934 0.0207236315338313 0.0271311296826891
"woot" 0.0544921706269479 0 0
"ozma^s" 0.0372141653062083 0.00470991625768894 0.029186518295014
"feel" 0.0188285955418316 0.0894884088960898 0.0258978965152941
"however" 0.0420874488582118 0.0357953635584359 0.0061661658369748
"box" 0.011297157325099 0.00282594975461336 0.0772826118234175
"nor" 0.0341129848640243 0.0150717320246046 0.029597596017479
"quickly" 0.0270245724247465 0.0367373468099737 0.0332972955196639
"run" 0.0250309564261997 0.0263755310430581 0.0415188499689636
"night" 0.0307902915331129 0.0244915645399825 0.031241906907339
"walked" 0.0372141653062083 0.0499251123315027 0.00781047672683474
"used" 0.0347775235302066 0.0329694138038226 0.0189095752333894
"aunt" 0.0414229101920295 0.0405052798161249 0.00287754405725491
"continued" 0.0343344977527517 0.031085447300747 0.0201428084007843
"four" 0.0312333173105677 0.00659388276076451 0.0365859172993838
"pompa" 0 0 0.0974254202242018
"word" 0.0316763430880226 0.0226075980369069 0.0287754405725491
"fairy" 0.0352205493076615 0.0216656147853691 0.0221981970131093
"felt" 0.0203791857629236 0.044273212822276 0.0398745390791037
"bit" 0.0152843893221927 0.0141297487730668 0.062072736092213
"cowardly" 0.0228158275389254 0.0508670955830405 0.0320640623522689
"started" 0.0250309564261997 0.0188396650307558 0.0419299276914286
"across" 0.0301257528669306 0.00941983251537788 0.0357637618544538
"coming" 0.025695495092382 0.0263755310430581 0.0365859172993838
"everyone" 0.0117401831025538 0.129993688712215 0.0172652643435294
"anyone" 0.0281321368683837 0.0499251123315027 0.0213760415681793
"followed" 0.0389862684160278 0.0122457822699912 0.0176763420659944
"isn^t" 0.0374356781949358 0.0263755310430581 0.0139766425638095
"wag" 0 0 0.0949589538894119
"blue" 0.0248094435374722 0.0216656147853691 0.0386413059117087
"need" 0.0274675982022014 0.0470991625768894 0.0226092747355743
"uncle" 0.0358850879738438 0.0235495812884447 0.0172652643435294
"poor" 0.0332269333091146 0.0075358660123023 0.0287754405725491
"person" 0.0321193688654774 0.0339113970553604 0.0189095752333894
"slowly" 0.0325623946429323 0.0244915645399825 0.0221981970131093
"whole" 0.00841748977164236 0.0329694138038226 0.0633059692596079
"creature" 0.0372141653062083 0.0169556985276802 0.0164431088985995
"forward" 0.0214867502065608 0.013187765521529 0.0472739380834734
"table" 0.0268030595360191 0.0075358660123023 0.0398745390791037
"jack" 0.047846783965125 0.000941983251537788 0.00328862177971989
"mean" 0.0166134666545573 0.0649968443561074 0.0332972955196639
"pigasus" 0 0 0.092492487554622
"full" 0.0307902915331129 0.0197816482822935 0.0263089742377591
"remember" 0.0194931342080139 0.0348533803068981 0.0406966945240337
"i^d" 0.0232588533163802 0.0357953635584359 0.0328862177971989
"please" 0.0314548301992951 0.0282594975461336 0.0201428084007843
"added" 0.0336699590865695 0.0160137152761424 0.0205538861232493
"kingdom" 0.0243664177600174 0.0075358660123023 0.0415188499689636
"nick" 0.014398337767283 0.00188396650307558 0.0624838138146779
"between" 0.0214867502065608 0.0282594975461336 0.0374080727443138
"brains" 0.0454101421891233 0.00188396650307558 0.00452185494711485
"tried" 0.0296827270894757 0.0169556985276802 0.0271311296826891
"kind" 0.0243664177600174 0.0555770118407295 0.0193206529558544
"bad" 0.0237018790938351 0.0395632965645871 0.0271311296826891
"return" 0.0223728017614705 0.0414472630676627 0.0287754405725491
"words" 0.0232588533163802 0.0405052798161249 0.0275422074051541
"path" 0.0354420621963889 0.0320274305522848 0.00822155444929973
"decided" 0.0316763430880226 0.00941983251537788 0.0246646633478992
"rock" 0.0230373404276528 0.00659388276076451 0.0415188499689636
"talk" 0.0259170079811094 0.0395632965645871 0.0213760415681793
"agreed" 0.0265815466472917 0.0329694138038226 0.0226092747355743
"else" 0.0299042399782031 0.0235495812884447 0.0205538861232493
"finally" 0.0314548301992951 0.00659388276076451 0.0250757410703642
"gold" 0.0323408817542049 0.00470991625768894 0.0242535856254342
"sea" 0.00354420621963889 0.00188396650307558 0.0789269227132774
"beasts" 0.0392077813047552 0.013187765521529 0.00739939900436976
"girls" 0.0367711395287535 0.000941983251537788 0.0172652643435294
"straw" 0.0383217297498455 0.00470991625768894 0.0127434093964146
"men" 0.0259170079811094 0.0216656147853691 0.0275422074051541
"turn" 0.0166134666545573 0.0273175142945958 0.0423410054138936
"years" 0.0237018790938351 0.0423892463192004 0.0226092747355743
"near" 0.036549626640026 0.0075358660123023 0.0135655648413446
"bird" 0.0188285955418316 0.00659388276076451 0.0464517826385435
