"baum-rbo_1" "baum-rbo_2" "baum-rbo_3" "baum-rbo_4" "baum-rbo_5" "baum-rbo_6" "baum-rbo_7" "baum-rbo_8" "baum-rbo_9" "baum-rbo_10" "baum-rbo_11" "baum-rbo_12" "baum-rbo_13" "baum-rbo_14" "baum-rbo_15" "baum-rbo_16" "baum-rbo_17" "baum-rbo_18" "baum-rbo_19" "baum-rbo_20" "baum-rbo_21" "baum-rbo_22" "baum-rbo_23" "baum-rbo_24" "baum-rbo_25" "baum-rbo_26" "baum-rbo_27" "baum-rbo_28" "baum-rbo_29" "baum-rbo_30" "baum-rbo_31" "baum-rbo_32" "baum-rbo_33" "baum-rbo_34" "baum-rbo_35" "baum-rbo_36" "baum-rbo_37" "baum-rbo_38" "baum-rbo_39" "baum-rbo_40" "baum-rbo_41" "baum-rbo_42" "baum-rbo_43" "baum-rbo_44" "baum-rbo_45" "baum-rbo_46" "baum-rbo_47" "baum-rbo_48" "baum-rbo_49" "baum-rbo_50" "baum-rbo_51" "baum-rbo_52" "baum-rbo_53" "baum-rbo_54" "baum-rbo_55" "baum-rbo_56" "baum-rbo_57" "baum-rbo_58" "baum-rbo_59" "baum-rbo_60" "baum-rbo_61" "baum-rbo_62" "baum-rbo_63" "baum-rbo_64" "baum-rbo_65" "baum-rbo_66" "baum-rbo_67" "baum-rbo_68" "baum-rbo_69" "baum-rbo_70" "baum-rbo_71" "baum-rbo_72" "baum-rbo_73" "baum-rbo_74" "baum-rbo_75"
"though" 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.08 0.06 0.06 0.06 0.06 0.06 0.08 0.1 0.1 0.08 0.06 0.06 0.06 0.04 0.06 0.06 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02
"wouldn^t" 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.04 0.04 0.04 0.04
"deep" 0.04 0.04 0.06 0.08 0.08 0.08 0.08 0.06 0.06 0.06 0.06 0.06 0.04 0.02 0.06 0.06 0.06 0.06 0.08 0.08 0.1 0.1 0.1 0.08 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.06 0.06 0.06 0.04 0.04 0.04 0.04
"disappeared" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.1 0.1
"instead" 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04
"fear" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"making" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.08 0.1 0.08 0.08 0.08 0.06 0.08 0.1 0.1 0.1 0.08 0.08 0.08 0.06 0.06 0.06 0.04 0.02 0.02 0.04 0.04 0.08 0.08 0.08 0.08 0.12 0.14 0.14 0.16 0.14 0.14 0.08 0.08 0.1 0.1 0.06 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.06
"sleep" 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0
"there^s" 0 0 0 0 0 0 0.02 0.02 0.02 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.06 0.04 0.04
"wings" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"beast" 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0.02 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0 0 0 0
"fact" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0
"held" 0.02 0.02 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.06 0.06 0.06 0.08 0.08 0.08 0.1 0.08 0.08 0.08 0.04 0.06 0.06 0.04
"lived" 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sighed" 0.04 0.04 0.04 0.06 0.06 0.08 0.1 0.1 0.08 0.08 0.12 0.14 0.18 0.16 0.16 0.14 0.14 0.14 0.14 0.18 0.14 0.12 0.1 0.1 0.1 0.1 0.08 0.06 0.08 0.04 0.06 0.08 0.06 0.06 0.1 0.1 0.1 0.1 0.08 0.08 0.06 0.04 0.04 0.04 0.02 0.04 0.04 0.04 0.04 0.04 0.06 0.08 0.08 0.12 0.1 0.08 0.08 0.08 0.08 0.12 0.1 0.08 0.08 0.04 0.04 0.04 0.06 0.06 0.06 0.04 0.06 0.06 0.06 0.06 0.06
"trying" 0.02 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.04 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0.06 0.06 0.08 0.08 0.1 0.12 0.12 0.12 0.12 0.12 0.06 0.08 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.04 0.04 0.02
"getting" 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04
"grew" 0.02 0.02 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0
"short" 0 0 0 0 0 0 0 0.02 0.04 0.04 0.04 0.04 0.06 0.06 0.08 0.1 0.1 0.08 0.06 0.06 0.06 0.06 0.04 0.04 0.02 0 0 0 0 0 0 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.06 0.08 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.02 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04
"caught" 0 0 0 0 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.08 0.04 0.04 0.04 0.06 0.08 0.08 0.08 0.08 0.06 0.04 0.04 0.04 0.04 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.02
"skamperoo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"truth" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04
"carefully" 0 0 0 0 0 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.06 0.06 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.02 0.02 0.04 0.06 0.06 0.04 0.06 0.06 0.06 0.08 0.08 0.1 0.08 0.08 0.08 0.08 0.08
"passed" 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02
"ship" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"conquer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0
"speak" 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.06 0.04 0.04 0.04 0.08 0.08 0.08 0.08 0.08 0.08 0.04 0.04 0.04 0.04 0 0 0 0 0 0
"standing" 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0 0 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.08 0.08 0.06 0.06 0.06 0.06 0.04 0.04 0.08 0.08 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0.04
"couldn^t" 0 0 0 0 0 0 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.1 0.1 0.1 0.08 0.06 0.06 0.04 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
"belt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.08 0.08
"cut" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.06 0.06 0.12 0.12 0.12 0.12
"nose" 0 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"stopped" 0.02 0.02 0.02 0.02 0.04 0.04 0.06 0.04 0.06 0.08 0.1 0.1 0.1 0.1 0.12 0.14 0.12 0.12 0.1 0.08 0.06 0.06 0.06 0.06 0.02 0 0 0 0 0 0 0 0.02 0.04 0.04 0.04 0.04 0.08 0.08 0.08 0.08 0.08 0.06 0.04 0.06 0.06 0.08 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.04
"flew" 0.02 0.02 0.04 0.06 0.06 0.06 0.06 0.1 0.08 0.08 0.08 0.08 0.06 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0.02 0.02 0.02 0.06 0.06 0.06 0.08 0.08 0.08 0.08 0.06 0.06 0.06
"floor" 0.04 0.04 0.08 0.08 0.08 0.06 0.06 0.06 0.06 0.06 0.08 0.08 0.04 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0
"longer" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.02 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0 0 0
"salt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"led" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"save" 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.14 0.16 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.14 0.02 0 0 0 0 0 0 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unless" 0.04 0.04 0.06 0.06 0.08 0.08 0.06 0.08 0.08 0.08 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"desert" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.12 0.12 0.12 0.12 0.1 0.1 0.08 0.08 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0
"huge" 0.06 0.06 0.08 0.1 0.1 0.12 0.12 0.08 0.06 0.08 0.1 0.1 0.08 0.06 0.06 0.04 0.04 0.04 0.04 0.02 0.04 0.04 0.04 0.06 0.12 0.12 0.12 0.12 0.14 0.14 0.12 0.12 0.12 0.14 0.08 0.08 0.12 0.12 0.1 0.1 0.08 0.08 0.12 0.08 0.1 0.12 0.08 0.08 0.08 0.12 0.14 0.14 0.1 0.1 0.08 0.06 0.06 0.06 0.06 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02
"eye" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fall" 0.04 0.06 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.06 0.04 0 0.06 0.08 0.12 0.12 0.14 0.14 0.14 0.14 0.14 0.14 0.08 0.06 0.02 0.02 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02
"sitting" 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.04 0.04 0.04 0.02 0.02 0.04 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0.02 0.02 0.02 0.02 0.04
"appeared" 0.02 0.04 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02
"center" 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.06 0.1 0.1 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.04 0 0 0 0 0 0 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04
"kept" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02
"known" 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"scraps" 0.1 0.1 0.08 0.08 0.12 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.04
"story" 0.06 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.04 0 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0.02
"answer" 0.04 0.04 0.04 0.06 0.04 0.02 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0.02 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.04 0.04
"pocket" 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.06 0.06 0.04 0.04 0.04 0.04 0.08 0.08 0.08 0.06 0.04 0.04 0.04 0.06 0.06 0.06 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0.02 0.02 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.02 0.02 0.08 0.1
"start" 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.06 0.06 0.06 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.02 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02
"strangers" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"except" 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
